date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:37:06	47423/47423	---MCZ	200	added ('OK')	text/html	etag:W/%227b85ebd0647db91033938dbd5a8072e9%22	https://developer.mozilla.org/en-US/	C:/Code/School/Websites/Front%20End/developer.mozilla.org/en-US/index.html	(from )
09:37:06	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jan%202024%2008:37:05%20GMT	https://frontend.webontwerp.ucll.be/robots.txt		(from )
09:37:06	9516/9516	---M-Z	200	added ('OK')	text/html	etag:%22252c-5fec86aea4cdd-gzip%22	https://frontend.webontwerp.ucll.be/	C:/Code/School/Websites/Front%20End/frontend.webontwerp.ucll.be/index.html	(from )
09:37:06	9720/9720	---M-Z	200	added ('OK')	text/css	etag:%2225f8-5fec86c8c1997-gzip%22	https://frontend.webontwerp.ucll.be/assets/styles/stijl.css	C:/Code/School/Websites/Front%20End/frontend.webontwerp.ucll.be/assets/styles/stijl.css	(from https://frontend.webontwerp.ucll.be/)
09:37:07	1088/1088	---M-Z	200	added ('OK')	text/css	etag:%22440-5fec86f40142f-gzip%22	https://frontend.webontwerp.ucll.be/assets/highlight/styles/vs2015.min.css	C:/Code/School/Websites/Front%20End/frontend.webontwerp.ucll.be/assets/highlight/styles/vs2015.min.css	(from https://frontend.webontwerp.ucll.be/)
09:37:07	60000/60000	---M-Z	200	added ('OK')	text/javascript	etag:%22ea60-5fec86c49d045-gzip%22	https://frontend.webontwerp.ucll.be/assets/highlight/highlight.min.js	C:/Code/School/Websites/Front%20End/frontend.webontwerp.ucll.be/assets/highlight/highlight.min.js	(from https://frontend.webontwerp.ucll.be/)
09:37:07	248/248	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2008%20Jan%202024%2008:37:07%20GMT	https://frontend.webontwerp.ucll.be/OPO	C:/Code/School/Websites/Front%20End/frontend.webontwerp.ucll.be/OPO	(from https://frontend.webontwerp.ucll.be/)
09:37:07	250/250	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2008%20Jan%202024%2008:37:07%20GMT	https://frontend.webontwerp.ucll.be/tools	C:/Code/School/Websites/Front%20End/frontend.webontwerp.ucll.be/tools	(from https://frontend.webontwerp.ucll.be/)
09:37:08	248/248	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2008%20Jan%202024%2008:37:08%20GMT	https://frontend.webontwerp.ucll.be/web	C:/Code/School/Websites/Front%20End/frontend.webontwerp.ucll.be/web	(from https://frontend.webontwerp.ucll.be/)
09:37:08	257/257	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2008%20Jan%202024%2008:37:08%20GMT	https://frontend.webontwerp.ucll.be/HTML_00_menu	C:/Code/School/Websites/Front%20End/frontend.webontwerp.ucll.be/HTML_00_menu	(from https://frontend.webontwerp.ucll.be/)
09:37:08	4533/4533	---M-Z	200	added ('OK')	text/html	etag:%2211b5-5fec86b4f511c-gzip%22	https://frontend.webontwerp.ucll.be/OPO/	C:/Code/School/Websites/Front%20End/frontend.webontwerp.ucll.be/OPO/index.html	(from https://frontend.webontwerp.ucll.be/)
09:37:08	256/256	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2008%20Jan%202024%2008:37:08%20GMT	https://frontend.webontwerp.ucll.be/CSS_00_menu	C:/Code/School/Websites/Front%20End/frontend.webontwerp.ucll.be/CSS_00_menu	(from https://frontend.webontwerp.ucll.be/)
09:37:08	255/255	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2008%20Jan%202024%2008:37:08%20GMT	https://frontend.webontwerp.ucll.be/JS_00_menu	C:/Code/School/Websites/Front%20End/frontend.webontwerp.ucll.be/JS_00_menu	(from https://frontend.webontwerp.ucll.be/)
09:37:08	250/250	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2008%20Jan%202024%2008:37:08%20GMT	https://frontend.webontwerp.ucll.be/varia	C:/Code/School/Websites/Front%20End/frontend.webontwerp.ucll.be/varia	(from https://frontend.webontwerp.ucll.be/)
09:37:09	252/252	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2008%20Jan%202024%2008:37:09%20GMT	https://frontend.webontwerp.ucll.be/bronnen	C:/Code/School/Websites/Front%20End/frontend.webontwerp.ucll.be/bronnen	(from https://frontend.webontwerp.ucll.be/)
09:37:09	19435/19435	---M--	200	added ('OK')	image/png	etag:%224beb-5fec86b55f84b%22	https://frontend.webontwerp.ucll.be/assets/Logo_UCLL_negatief_RGB.png	C:/Code/School/Websites/Front%20End/frontend.webontwerp.ucll.be/assets/Logo_UCLL_negatief_RGB.png	(from https://frontend.webontwerp.ucll.be/)
09:37:09	16633/16633	---M-Z	200	added ('OK')	text/html	etag:%2240f9-6059e1aef14a2-gzip%22	https://frontend.webontwerp.ucll.be/tools/	C:/Code/School/Websites/Front%20End/frontend.webontwerp.ucll.be/tools/index.html	(from https://frontend.webontwerp.ucll.be/)
09:37:09	3003/3003	---M-Z	200	added ('OK')	text/javascript	etag:%22bbb-5fec86c5a7a0a-gzip%22	https://frontend.webontwerp.ucll.be/assets/js/func2.js	C:/Code/School/Websites/Front%20End/frontend.webontwerp.ucll.be/assets/js/func2.js	(from https://frontend.webontwerp.ucll.be/)
09:37:15	4101/4101	---M-Z	200	added ('OK')	text/html	etag:%221005-5fec875c504f3-gzip%22	https://frontend.webontwerp.ucll.be/web/	C:/Code/School/Websites/Front%20End/frontend.webontwerp.ucll.be/web/index.html	(from https://frontend.webontwerp.ucll.be/)
09:37:15	5157/5157	---M-Z	200	added ('OK')	text/html	etag:%221425-5fec86b1a65c7-gzip%22	https://frontend.webontwerp.ucll.be/HTML_00_menu/	C:/Code/School/Websites/Front%20End/frontend.webontwerp.ucll.be/HTML_00_menu/index.html	(from https://frontend.webontwerp.ucll.be/)
09:37:15	5750/5750	---M-Z	200	added ('OK')	text/html	etag:%221676-5fec86af0388a-gzip%22	https://frontend.webontwerp.ucll.be/CSS_00_menu/	C:/Code/School/Websites/Front%20End/frontend.webontwerp.ucll.be/CSS_00_menu/index.html	(from https://frontend.webontwerp.ucll.be/)
09:37:21	3975/3975	---M-Z	200	added ('OK')	text/html	etag:%22f87-5fec86b3550a3-gzip%22	https://frontend.webontwerp.ucll.be/JS_00_menu/	C:/Code/School/Websites/Front%20End/frontend.webontwerp.ucll.be/JS_00_menu/index.html	(from https://frontend.webontwerp.ucll.be/)
09:37:21	15109/15109	---M-Z	200	added ('OK')	text/html	etag:%223b05-5fec875be8ca4-gzip%22	https://frontend.webontwerp.ucll.be/varia/	C:/Code/School/Websites/Front%20End/frontend.webontwerp.ucll.be/varia/index.html	(from https://frontend.webontwerp.ucll.be/)
09:37:21	4554/4554	---M-Z	200	added ('OK')	text/html	etag:%2211ca-5fec875b082c5-gzip%22	https://frontend.webontwerp.ucll.be/bronnen/	C:/Code/School/Websites/Front%20End/frontend.webontwerp.ucll.be/bronnen/index.html	(from https://frontend.webontwerp.ucll.be/)
09:37:21	320/320	---M--	200	added ('OK')	text/plain	etag:%225d5debdebf8aedbdccb09f631fc1d3ce%22	https://developer.mozilla.org/robots.txt		(from )
09:37:21	763/763	---M--	200	added ('OK')	image/png	etag:%22cbbd161ba4740677c61b6c0b5cb5f08e%22	https://developer.mozilla.org/favicon-48x48.cbbd161b.png	C:/Code/School/Websites/Front%20End/developer.mozilla.org/favicon-48x48.cbbd161b.png	(from https://developer.mozilla.org/en-US/)
09:37:22	2171/2171	---M--	200	added ('OK')	image/png	etag:%226803c6f0940b2fd696541abde27fd0d1%22	https://developer.mozilla.org/apple-touch-icon.6803c6f0.png	C:/Code/School/Websites/Front%20End/developer.mozilla.org/apple-touch-icon.6803c6f0.png	(from https://developer.mozilla.org/en-US/)
09:37:22	23792/23792	---MCZ	200	added ('OK')	application/xml	etag:W/%22cde2119c23d654f7d0b5b2da27a4bf25%22	https://developer.mozilla.org/en-US/blog/rss.xml	C:/Code/School/Websites/Front%20End/developer.mozilla.org/en-US/blog/rss.xml	(from https://developer.mozilla.org/en-US/)
09:37:22	23824/23824	---M--	200	added ('OK')	image/png	etag:%22cd6c4a5acf13578664129814031d94cc%22	https://developer.mozilla.org/mdn-social-share.cd6c4a5a.png	C:/Code/School/Websites/Front%20End/developer.mozilla.org/mdn-social-share.cd6c4a5a.png	(from https://developer.mozilla.org/en-US/)
09:37:22	1675/1675	---MCZ	200	added ('OK')	text/javascript	etag:W/%22677c5b73f11568425a71f44e61a9bb49%22	https://developer.mozilla.org/static/js/ga.js	C:/Code/School/Websites/Front%20End/developer.mozilla.org/static/js/ga.js	(from https://developer.mozilla.org/en-US/)
09:37:23	546067/546067	---MCZ	200	added ('OK')	text/javascript	etag:W/%22f9ed64548e76918f2346d1624a0d06f4%22	https://developer.mozilla.org/static/js/main.70c8cb70.js	C:/Code/School/Websites/Front%20End/developer.mozilla.org/static/js/main.70c8cb70.js	(from https://developer.mozilla.org/en-US/)
09:37:23	179241/179241	---MCZ	200	added ('OK')	text/css	etag:W/%22cf8854b70613fe90e400da5f89ccdb23%22	https://developer.mozilla.org/static/css/main.b0422016.css	C:/Code/School/Websites/Front%20End/developer.mozilla.org/static/css/main.b0422016.css	(from https://developer.mozilla.org/en-US/)
09:37:23	50303/50303	---MCZ	200	added ('OK')	text/html	etag:W/%2247d30aad691e11b87a52ca8634bdec8e%22	https://developer.mozilla.org/en-US/docs/Web	C:/Code/School/Websites/Front%20End/developer.mozilla.org/en-US/docs/Web.html	(from https://developer.mozilla.org/en-US/)
